------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     2  0.000000000000E+00  0.000000000000E+00  3.320481719474E+00

------ Current Surface: Coil-Plasma separation =   2.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  1.004129782829E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1 -1.467888308749E-01 -1.540994093581E-01  0.000000000000E+00  0.000000000000E+00
      0    -2  1.807684813882E-02  1.777692537131E-02  0.000000000000E+00  0.000000000000E+00
      0    -3 -3.460257467112E-03 -3.874200443232E-03  0.000000000000E+00  0.000000000000E+00
      0    -4  6.730762422657E-04  5.211423287350E-04  0.000000000000E+00  0.000000000000E+00
      0    -5 -5.554192080778E-05  6.583834297845E-05  0.000000000000E+00  0.000000000000E+00
      0    -6  2.777644898577E-05  6.434291476495E-05  0.000000000000E+00  0.000000000000E+00
      0    -7  2.604107302116E-05  8.374768590742E-06  0.000000000000E+00  0.000000000000E+00
      0    -8 -1.292486393282E-06 -9.652678533495E-06  0.000000000000E+00  0.000000000000E+00
      0    -9 -7.573249506426E-06 -2.305865193057E-06  0.000000000000E+00  0.000000000000E+00
      0   -10 -4.313085421099E-06  1.316236650132E-06  0.000000000000E+00  0.000000000000E+00
      0   -11 -2.913945073779E-06  1.852132101980E-07  0.000000000000E+00  0.000000000000E+00
      0   -12 -5.616128203672E-07  2.891861789320E-07  0.000000000000E+00  0.000000000000E+00
      0   -13  2.644762053935E-07  3.519305565391E-07  0.000000000000E+00  0.000000000000E+00
      0   -14  2.135052687002E-07  2.180013239493E-07  0.000000000000E+00  0.000000000000E+00
      0   -15  2.333950710455E-08  3.249343322404E-09  0.000000000000E+00  0.000000000000E+00
      0   -16 -2.736667453455E-08 -6.628862828004E-08  0.000000000000E+00  0.000000000000E+00
      0   -17 -3.290546152632E-08 -3.427132183372E-08  0.000000000000E+00  0.000000000000E+00
      0   -18 -8.031028654341E-09 -1.964546974544E-08  0.000000000000E+00  0.000000000000E+00
      0   -19  8.792709695971E-09 -8.803278186410E-09  0.000000000000E+00  0.000000000000E+00
      0   -20  7.366154327753E-09 -9.189829507737E-09  0.000000000000E+00  0.000000000000E+00
      0   -21  2.765351682778E-09 -5.015732102023E-09  0.000000000000E+00  0.000000000000E+00
      0   -22 -8.981773438064E-10 -2.805825082163E-10  0.000000000000E+00  0.000000000000E+00
      0   -23  1.827704987627E-09 -5.388710914392E-09  0.000000000000E+00  0.000000000000E+00
      0   -24  6.767205873795E-09 -7.535140645252E-09  0.000000000000E+00  0.000000000000E+00
      1    24  2.877024206491E-09  5.201584653125E-09  0.000000000000E+00  0.000000000000E+00
      1    23 -6.782935058893E-11 -2.540683607781E-10  0.000000000000E+00  0.000000000000E+00
      1    22 -2.402633747338E-10  1.609595048345E-09  0.000000000000E+00  0.000000000000E+00
      1    21  6.421226223159E-09  5.941915567364E-09  0.000000000000E+00  0.000000000000E+00
      1    20  6.390430527684E-09  1.100626898478E-08  0.000000000000E+00  0.000000000000E+00
      1    19 -1.475294963364E-08  1.386061656802E-08  0.000000000000E+00  0.000000000000E+00
      1    18 -3.315503101377E-08  1.892144010466E-08  0.000000000000E+00  0.000000000000E+00
      1    17 -1.554690754192E-08  2.179808595655E-08  0.000000000000E+00  0.000000000000E+00
      1    16  2.926335353129E-08  1.272085430933E-08  0.000000000000E+00  0.000000000000E+00
      1    15  1.343863618679E-07 -5.216585844343E-08  0.000000000000E+00  0.000000000000E+00
      1    14 -7.239328095484E-09 -5.365438583395E-08  0.000000000000E+00  0.000000000000E+00
      1    13 -6.100267940428E-07 -1.200165953608E-07  0.000000000000E+00  0.000000000000E+00
