------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     3  0.000000000000E+00  0.000000000000E+00  2.137551727897E+00

------ Current Surface: Coil-Plasma separation =   1.700000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  9.690056378039E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  4.201147793532E-02  3.178439060516E-02  0.000000000000E+00  0.000000000000E+00
      0    -2  6.606511783081E-03  5.994634544319E-03  0.000000000000E+00  0.000000000000E+00
      0    -3  1.632523604328E-03  2.347758953555E-03  0.000000000000E+00  0.000000000000E+00
      0    -4  1.406884821433E-04 -7.486282947572E-05  0.000000000000E+00  0.000000000000E+00
      0    -5 -3.383412706617E-04 -5.006882847906E-06  0.000000000000E+00  0.000000000000E+00
      0    -6  1.385980595465E-04 -4.687459570278E-06  0.000000000000E+00  0.000000000000E+00
      0    -7 -4.666983464218E-05  8.248779076565E-05  0.000000000000E+00  0.000000000000E+00
      0    -8  1.135523363465E-05 -1.951655051933E-05  0.000000000000E+00  0.000000000000E+00
      0    -9  3.543542298273E-05  2.530944810834E-05  0.000000000000E+00  0.000000000000E+00
      0   -10 -2.542529713052E-05 -9.974974361505E-06  0.000000000000E+00  0.000000000000E+00
      0   -11  1.346973706794E-05  4.233519456226E-06  0.000000000000E+00  0.000000000000E+00
      0   -12 -1.417465623189E-06 -2.421260327758E-06  0.000000000000E+00  0.000000000000E+00
      0   -13 -5.356060531734E-06  1.818716497387E-06  0.000000000000E+00  0.000000000000E+00
      0   -14  5.608363320819E-06 -1.781909027211E-06  0.000000000000E+00  0.000000000000E+00
      0   -15 -3.791922461535E-06  1.623920715560E-06  0.000000000000E+00  0.000000000000E+00
      0   -16  1.845455005285E-06 -1.157040757365E-06  0.000000000000E+00  0.000000000000E+00
      0   -17 -4.001522358841E-07  5.771247126955E-07  0.000000000000E+00  0.000000000000E+00
      0   -18 -2.189784902867E-07 -1.728708328007E-07  0.000000000000E+00  0.000000000000E+00
      0   -19  3.740739587533E-07 -6.512293520961E-08  0.000000000000E+00  0.000000000000E+00
      0   -20 -2.937015719974E-07  1.771690972989E-07  0.000000000000E+00  0.000000000000E+00
      0   -21  1.453837329927E-07 -1.789821556854E-07  0.000000000000E+00  0.000000000000E+00
      0   -22 -7.241451406743E-08  1.570185091887E-07  0.000000000000E+00  0.000000000000E+00
      0   -23  8.761443865660E-09 -8.044270513889E-08  0.000000000000E+00  0.000000000000E+00
