------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.547114382868E+00

------ Current Surface: Coil-Plasma separation =   1.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  9.908154872942E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  1.390433298502E-01 -1.096983661982E-01  0.000000000000E+00  0.000000000000E+00
      0    -2  2.012241182897E-02 -1.664271849515E-02  0.000000000000E+00  0.000000000000E+00
      0    -3  3.155170040166E-03 -2.662854550012E-03  0.000000000000E+00  0.000000000000E+00
      0    -4  1.831033390268E-04 -9.598451366807E-05  0.000000000000E+00  0.000000000000E+00
      0    -5  2.039142998286E-06  8.955635637970E-06  0.000000000000E+00  0.000000000000E+00
      0    -6  1.006719313706E-04  1.929680686585E-05  0.000000000000E+00  0.000000000000E+00
      0    -7  1.931024479791E-05 -8.487352329936E-05  0.000000000000E+00  0.000000000000E+00
      0    -8 -1.047137847753E-04  9.360451455130E-05  0.000000000000E+00  0.000000000000E+00
      0    -9 -4.763189202308E-05  5.629769313314E-05  0.000000000000E+00  0.000000000000E+00
      0   -10  5.391520452674E-05 -7.061877289964E-05  0.000000000000E+00  0.000000000000E+00
      0   -11 -1.209872597280E-05  1.975082000876E-05  0.000000000000E+00  0.000000000000E+00
      0   -12  2.728028265782E-05 -2.687027751735E-05  0.000000000000E+00  0.000000000000E+00
      0   -13 -8.871637877237E-06  9.122323347673E-07  0.000000000000E+00  0.000000000000E+00
      0   -14  5.361652134955E-06  9.930505225284E-07  0.000000000000E+00  0.000000000000E+00
      0   -15  5.409843042405E-06 -3.589876820997E-06  0.000000000000E+00  0.000000000000E+00
      0   -16 -4.889190595316E-06 -2.488354532552E-06  0.000000000000E+00  0.000000000000E+00
      0   -17 -8.109068920317E-07  3.133856124345E-06  0.000000000000E+00  0.000000000000E+00
      0   -18  4.967694471626E-06 -3.809463634625E-06  0.000000000000E+00  0.000000000000E+00
      0   -19 -5.234436670138E-07  3.954605444588E-06  0.000000000000E+00  0.000000000000E+00
      0   -20 -3.780986943166E-06  5.107613169937E-07  0.000000000000E+00  0.000000000000E+00
      0   -21 -1.344271619033E-06  1.166335201982E-07  0.000000000000E+00  0.000000000000E+00
      0   -22 -6.293844480575E-08 -1.759171943086E-06  0.000000000000E+00  0.000000000000E+00
      0   -23  7.569265464397E-08 -3.253372619716E-08  0.000000000000E+00  0.000000000000E+00
      0   -24  1.909937180896E-06 -9.374314853742E-07  0.000000000000E+00  0.000000000000E+00
      1    24 -1.179374012698E-06  1.174111614186E-06  0.000000000000E+00  0.000000000000E+00
      1    23 -2.252901858774E-06 -7.752036843517E-07  0.000000000000E+00  0.000000000000E+00
      1    22 -7.151537841695E-07 -2.880468722331E-07  0.000000000000E+00  0.000000000000E+00
      1    21 -4.897555422669E-07 -2.667967813102E-06  0.000000000000E+00  0.000000000000E+00
      1    20  1.879379682940E-06 -5.777306393350E-07  0.000000000000E+00  0.000000000000E+00
      1    19  4.389373682974E-06 -4.019827009794E-07  0.000000000000E+00  0.000000000000E+00
      1    18  2.024687938840E-06  4.450875726588E-06  0.000000000000E+00  0.000000000000E+00
      1    17 -7.277153922169E-06 -4.503938116426E-06  0.000000000000E+00  0.000000000000E+00
      1    16 -1.962204593299E-06  1.478471040783E-06  0.000000000000E+00  0.000000000000E+00
      1    15  6.498106237686E-06 -5.044721504317E-07  0.000000000000E+00  0.000000000000E+00
      1    14 -3.362933356096E-06 -4.797602735914E-07  0.000000000000E+00  0.000000000000E+00
      1    13 -4.356386822109E-06 -3.032155149587E-06  0.000000000000E+00  0.000000000000E+00
      1    12  4.328214308506E-06  2.258545335417E-06  0.000000000000E+00  0.000000000000E+00
      1    11 -2.148777789463E-05 -2.005947802674E-05  0.000000000000E+00  0.000000000000E+00
      1    10  3.308452551189E-05  3.285387235710E-05  0.000000000000E+00  0.000000000000E+00
      1     9 -2.354938198995E-05 -3.255140277466E-05  0.000000000000E+00  0.000000000000E+00
      1     8  6.287904860704E-05  3.792621220930E-05  0.000000000000E+00  0.000000000000E+00
      1     7 -1.683443463389E-05  3.381781524308E-05  0.000000000000E+00  0.000000000000E+00
      1     6  2.708897483204E-05 -6.082121948632E-05  0.000000000000E+00  0.000000000000E+00
      1     5 -1.134216765991E-04 -3.116848029720E-05  0.000000000000E+00  0.000000000000E+00
      1     4 -3.345452634928E-04 -2.639604622671E-04  0.000000000000E+00  0.000000000000E+00
      1     3 -1.020185263232E-03 -8.894989911177E-04  0.000000000000E+00  0.000000000000E+00
      1     2 -3.223461013930E-03 -2.625583142227E-03  0.000000000000E+00  0.000000000000E+00
      1     1  2.648015534350E-03  1.828799708209E-03  0.000000000000E+00  0.000000000000E+00
      1     0  1.939325816779E-01  1.870263361546E-01  0.000000000000E+00  0.000000000000E+00
      1    -1 -6.211576995078E-03  5.354898182449E-03  0.000000000000E+00  0.000000000000E+00
      1    -2 -8.958468985201E-03  8.731923065330E-03  0.000000000000E+00  0.000000000000E+00
