Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  8.6944e-02,  7.4015882297645752e-01,  1.7303706991604584e-03,  0.0000000000000000e+00, -7.5230841304937501e-01, -3.0283060787482743e-04,  0.0000000000000000e+00,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.4913416556943466e+02
     1,  1.7642e-01,  7.4015883787761871e-01,  1.7303706991604584e-03,  0.0000000000000000e+00, -7.5230841304937501e-01, -3.0283060787482743e-04,  0.0000000000000000e+00,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.4913416519926656e+02
     2,  2.6454e-01,  7.4015882297645752e-01,  1.7303856003216523e-03,  0.0000000000000000e+00, -7.5230841304937501e-01, -3.0283060787482743e-04,  0.0000000000000000e+00,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.4913415301527868e+02
     3,  3.5377e-01,  7.4015882297645752e-01,  1.7303706991604584e-03,  1.4901161193847656e-08, -7.5230841304937501e-01, -3.0283060787482743e-04,  0.0000000000000000e+00,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.4913415853483176e+02
     4,  4.4169e-01,  7.4015882297645752e-01,  1.7303706991604584e-03,  0.0000000000000000e+00, -7.5230842795053621e-01, -3.0283060787482743e-04,  0.0000000000000000e+00,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.4913416626680274e+02
     5,  5.2877e-01,  7.4015882297645752e-01,  1.7303706991604584e-03,  0.0000000000000000e+00, -7.5230841304937501e-01, -3.0284550903602128e-04,  0.0000000000000000e+00,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.4913417572285351e+02
     6,  6.2031e-01,  7.4015882297645752e-01,  1.7303706991604584e-03,  0.0000000000000000e+00, -7.5230841304937501e-01, -3.0283060787482743e-04,  1.4901161193847656e-08,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.4913416063527899e+02
     7,  7.1186e-01,  7.4015882297645752e-01,  1.7303706991604584e-03,  0.0000000000000000e+00, -7.5230841304937501e-01, -3.0283060787482743e-04,  0.0000000000000000e+00,  1.2403655858616462e+00,  2.2858562382957107e-01,  1.4913416443136609e+02
     8,  8.0008e-01,  7.4015882297645752e-01,  1.7303706991604584e-03,  0.0000000000000000e+00, -7.5230841304937501e-01, -3.0283060787482743e-04,  0.0000000000000000e+00,  1.2403655673787590e+00,  2.2858563873073226e-01,  1.4913416573525345e+02
     9,  9.1900e-01,  7.7228980185018981e-01,  4.5548920075740587e-02,  1.2561848566858306e-03, -7.6361210464871521e-01, -3.7079593922435296e-02, -2.0799828505716302e-04,  1.2663182712310002e+00,  2.0020221319744450e-01,  1.5049588824583032e+02
    10,  1.0097e+00,  7.4579254561354469e-01,  1.4583913876670811e-02,  3.2369920643476090e-03, -7.4554117852047608e-01, -6.7999945640959706e-03, -2.1448744299156276e-03,  1.2484597059012728e+00,  2.2657509017966657e-01,  1.5481397419209659e+02
