------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     1  0.000000000000E+00  0.000000000000E+00  6.973118480256E+00

------ Current Surface: Coil-Plasma separation =   3.500000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  9.940370155164E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1 -7.073944721487E-03 -1.468958626881E-02  0.000000000000E+00  0.000000000000E+00
      0    -2 -3.114507857060E-01 -1.418242854394E-01  0.000000000000E+00  0.000000000000E+00
      0    -3 -7.258237702341E-03 -1.288784057937E-02  0.000000000000E+00  0.000000000000E+00
      0    -4  5.079572046468E-02  2.511087996128E-02  0.000000000000E+00  0.000000000000E+00
      0    -5  2.567376383611E-03  5.779947252515E-03  0.000000000000E+00  0.000000000000E+00
      0    -6 -1.468799986313E-02 -1.016678926845E-02  0.000000000000E+00  0.000000000000E+00
      0    -7  1.035785993917E-03  4.313541327876E-04  0.000000000000E+00  0.000000000000E+00
      0    -8  1.536453533317E-03  1.342765690558E-03  0.000000000000E+00  0.000000000000E+00
      0    -9 -1.287534090297E-03 -1.065267952094E-03  0.000000000000E+00  0.000000000000E+00
      0   -10  8.775241943324E-05 -8.375002203563E-04  0.000000000000E+00  0.000000000000E+00
      0   -11  6.257967427042E-04  7.798328921373E-04  0.000000000000E+00  0.000000000000E+00
      0   -12 -4.887428884315E-04 -3.244967452086E-04  0.000000000000E+00  0.000000000000E+00
      0   -13 -1.284694768013E-04 -4.544423639052E-04  0.000000000000E+00  0.000000000000E+00
      0   -14  9.997833693981E-05  2.245470968726E-04  0.000000000000E+00  0.000000000000E+00
      0   -15 -1.348817096402E-04  1.007610884345E-04  0.000000000000E+00  0.000000000000E+00
      0   -16  1.091691432863E-04 -1.914609904795E-04  0.000000000000E+00  0.000000000000E+00
      0   -17  1.085192413796E-04  4.051787870995E-05  0.000000000000E+00  0.000000000000E+00
      0   -18 -1.868919402773E-04 -2.603081831485E-06  0.000000000000E+00  0.000000000000E+00
      0   -19 -1.828626349258E-05 -5.363130372745E-05  0.000000000000E+00  0.000000000000E+00
      0   -20  1.035282591701E-04  2.190462467712E-05  0.000000000000E+00  0.000000000000E+00
      0   -21 -5.078211817795E-05  2.385762707496E-05  0.000000000000E+00  0.000000000000E+00
      0   -22 -4.211209539726E-05 -6.175023142049E-05  0.000000000000E+00  0.000000000000E+00
      0   -23  6.002768398277E-05  2.457448787326E-05  0.000000000000E+00  0.000000000000E+00
      0   -24 -2.104460845452E-05  1.385623136441E-05  0.000000000000E+00  0.000000000000E+00
      1    24  9.751268151410E-06  4.760955954027E-05  0.000000000000E+00  0.000000000000E+00
      1    23 -6.301092850356E-05  5.284215984064E-05  0.000000000000E+00  0.000000000000E+00
      1    22  2.427626240903E-05 -6.621168576677E-05  0.000000000000E+00  0.000000000000E+00
      1    21  6.517032508407E-05 -1.316922485479E-05  0.000000000000E+00  0.000000000000E+00
      1    20 -1.446505815366E-04  1.349183945885E-04  0.000000000000E+00  0.000000000000E+00
      1    19 -1.550818447790E-05 -3.703308108202E-05  0.000000000000E+00  0.000000000000E+00
      1    18  2.282493077403E-04 -1.350996141866E-05  0.000000000000E+00  0.000000000000E+00
      1    17 -1.058552562023E-04  8.193541518755E-06  0.000000000000E+00  0.000000000000E+00
      1    16 -2.364032175476E-04 -7.711097327912E-05  0.000000000000E+00  0.000000000000E+00
      1    15  1.973384339506E-04  1.983286113483E-04  0.000000000000E+00  0.000000000000E+00
      1    14  1.516113883179E-04  2.822383110925E-04  0.000000000000E+00  0.000000000000E+00
      1    13 -1.279748637853E-04 -4.936316827948E-04  0.000000000000E+00  0.000000000000E+00
      1    12  3.457922760472E-04 -8.559259753963E-05  0.000000000000E+00  0.000000000000E+00
      1    11 -3.424775897665E-04  1.137595669537E-03  0.000000000000E+00  0.000000000000E+00
      1    10 -1.568160987878E-06 -2.214643155727E-04  0.000000000000E+00  0.000000000000E+00
      1     9  5.985673089177E-04 -8.889031639871E-04  0.000000000000E+00  0.000000000000E+00
      1     8 -1.939502536679E-03  4.254917219955E-03  0.000000000000E+00  0.000000000000E+00
      1     7  2.181411801285E-03 -1.074903443504E-03  0.000000000000E+00  0.000000000000E+00
      1     6  1.339799999299E-02 -5.650079553938E-03  0.000000000000E+00  0.000000000000E+00
      1     5 -8.421064872527E-03  3.092429819834E-03  0.000000000000E+00  0.000000000000E+00
      1     4 -3.538005820834E-02  1.706405474405E-02  0.000000000000E+00  0.000000000000E+00
      1     3  6.620958625018E-03 -9.575480510403E-03  0.000000000000E+00  0.000000000000E+00
      1     2 -3.357240581140E-02  4.213294048897E-02  0.000000000000E+00  0.000000000000E+00
      1     1  6.825296484665E-02  5.748504819671E-02  0.000000000000E+00  0.000000000000E+00
      1     0  4.973114938447E-01  4.450405309479E-01  0.000000000000E+00  0.000000000000E+00
      1    -1 -7.822831194042E-02 -6.786725544509E-02  0.000000000000E+00  0.000000000000E+00
      1    -2 -2.241031702453E-03  2.107352258026E-03  0.000000000000E+00  0.000000000000E+00
      1    -3  2.667348152908E-03  3.427825848324E-03  0.000000000000E+00  0.000000000000E+00
      1    -4 -1.593710278418E-02 -9.643151040645E-03  0.000000000000E+00  0.000000000000E+00
      1    -5  3.749025196356E-03  1.437978365354E-03  0.000000000000E+00  0.000000000000E+00
      1    -6  5.075462497322E-03  1.913988163532E-03  0.000000000000E+00  0.000000000000E+00
      1    -7 -2.244515266747E-03 -6.634885473899E-04  0.000000000000E+00  0.000000000000E+00
      1    -8 -2.464829516747E-03 -2.197702997357E-03  0.000000000000E+00  0.000000000000E+00
      1    -9  1.404938018809E-03  8.300168820560E-04  0.000000000000E+00  0.000000000000E+00
      1   -10 -2.939823943638E-04  1.906302189700E-05  0.000000000000E+00  0.000000000000E+00
      1   -11 -6.383682596870E-04 -5.323860544258E-04  0.000000000000E+00  0.000000000000E+00
      1   -12  3.892405425243E-04  3.314426276202E-05  0.000000000000E+00  0.000000000000E+00
      1   -13  1.096557082241E-04  2.411924649423E-04  0.000000000000E+00  0.000000000000E+00
      1   -14 -2.936017687667E-04 -2.911724764694E-04  0.000000000000E+00  0.000000000000E+00
      1   -15  1.027304303519E-04 -4.234746509561E-05  0.000000000000E+00  0.000000000000E+00
      1   -16 -3.804148098090E-06  1.300139182184E-04  0.000000000000E+00  0.000000000000E+00
      1   -17 -1.218257353231E-04 -4.902663366733E-05  0.000000000000E+00  0.000000000000E+00
      1   -18  7.903286082791E-05 -7.941375082229E-05  0.000000000000E+00  0.000000000000E+00
      1   -19  4.952489056476E-05  7.567361981119E-05  0.000000000000E+00  0.000000000000E+00
      1   -20 -9.857058667262E-05 -2.483411333129E-05  0.000000000000E+00  0.000000000000E+00
      1   -21  2.165143244881E-05 -3.346006471426E-05  0.000000000000E+00  0.000000000000E+00
      1   -22  3.191286062650E-05  2.460291188536E-05  0.000000000000E+00  0.000000000000E+00
      1   -23 -4.308592068926E-05  3.064032928362E-06  0.000000000000E+00  0.000000000000E+00
      1   -24  5.107085473848E-06 -2.551193559441E-05  0.000000000000E+00  0.000000000000E+00
      2    24 -2.350364197930E-05 -4.665164323720E-05  0.000000000000E+00  0.000000000000E+00
      2    23  3.724761140389E-05 -7.235475452287E-05  0.000000000000E+00  0.000000000000E+00
      2    22 -3.388102770740E-05  1.671420592628E-04  0.000000000000E+00  0.000000000000E+00
      2    21 -6.873930465638E-05  3.396700002035E-05  0.000000000000E+00  0.000000000000E+00
      2    20  8.951733580993E-05 -1.553317864832E-04  0.000000000000E+00  0.000000000000E+00
      2    19  2.831604349224E-05  1.272484388514E-05  0.000000000000E+00  0.000000000000E+00
      2    18 -2.464335894011E-04  2.037586898403E-04  0.000000000000E+00  0.000000000000E+00
      2    17  1.171930892105E-04 -3.379649464551E-06  0.000000000000E+00  0.000000000000E+00
      2    16  3.186854074192E-04 -5.744031144366E-06  0.000000000000E+00  0.000000000000E+00
      2    15 -2.701512490033E-04 -2.038688632480E-04  0.000000000000E+00  0.000000000000E+00
      2    14 -8.212946096141E-05 -2.844621951583E-04  0.000000000000E+00  0.000000000000E+00
      2    13  4.865724654710E-04  7.747941785616E-04  0.000000000000E+00  0.000000000000E+00
      2    12  4.989792659995E-05  4.214237845298E-04  0.000000000000E+00  0.000000000000E+00
      2    11 -6.779868855024E-04 -9.773941851550E-04  0.000000000000E+00  0.000000000000E+00
      2    10  9.093642666666E-04  1.653259808826E-04  0.000000000000E+00  0.000000000000E+00
