------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     2  0.000000000000E+00  0.000000000000E+00  3.230736051362E+00

------ Current Surface: Coil-Plasma separation =   1.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0     0  9.990563335481E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
      0    -1  4.064614118540E-05  9.797464704252E-05  0.000000000000E+00  0.000000000000E+00
      0    -2 -6.824299858651E-02 -5.294269458210E-02  0.000000000000E+00  0.000000000000E+00
      0    -3 -3.271166541215E-05 -1.121665673869E-04  0.000000000000E+00  0.000000000000E+00
      0    -4  4.162316864280E-04  3.151043686789E-04  0.000000000000E+00  0.000000000000E+00
      0    -5 -4.693528805079E-04 -5.642538558696E-04  0.000000000000E+00  0.000000000000E+00
      0    -6 -1.483991143206E-04 -2.546196300375E-04  0.000000000000E+00  0.000000000000E+00
      0    -7 -3.492629183442E-04 -3.972103818684E-04  0.000000000000E+00  0.000000000000E+00
      0    -8 -6.724161334049E-05 -5.485117156334E-05  0.000000000000E+00  0.000000000000E+00
      0    -9 -2.238338797266E-06  1.551207325533E-05  0.000000000000E+00  0.000000000000E+00
      0   -10  4.364354144612E-05  5.256128016729E-05  0.000000000000E+00  0.000000000000E+00
      0   -11  1.728720441501E-06  2.897890693179E-06  0.000000000000E+00  0.000000000000E+00
      0   -12 -3.799652498550E-05 -1.023952156473E-05  0.000000000000E+00  0.000000000000E+00
      0   -13 -1.697614039787E-05 -4.742988629072E-06  0.000000000000E+00  0.000000000000E+00
      0   -14 -1.048411427300E-05  1.234013882708E-06  0.000000000000E+00  0.000000000000E+00
      0   -15  2.631038680352E-06  1.055129003810E-05  0.000000000000E+00  0.000000000000E+00
      0   -16 -8.912310993806E-06  2.014476426373E-06  0.000000000000E+00  0.000000000000E+00
      0   -17 -1.106557015390E-05  1.252026854694E-05  0.000000000000E+00  0.000000000000E+00
      0   -18 -4.539908213486E-06  8.507193909694E-06  0.000000000000E+00  0.000000000000E+00
      0   -19 -7.123105579532E-06 -3.043005426002E-06  0.000000000000E+00  0.000000000000E+00
      0   -20  4.875817239246E-06  6.423033976015E-06  0.000000000000E+00  0.000000000000E+00
      0   -21  5.211631853162E-07  1.357844504029E-06  0.000000000000E+00  0.000000000000E+00
      0   -22  2.817039141540E-06  3.164161815059E-06  0.000000000000E+00  0.000000000000E+00
      0   -23  1.880990701097E-06  1.607867522386E-06  0.000000000000E+00  0.000000000000E+00
      0   -24  9.928332382182E-07  6.243058048704E-07  0.000000000000E+00  0.000000000000E+00
      1    24 -5.125598959133E-08  1.637585322906E-06  0.000000000000E+00  0.000000000000E+00
      1    23  3.352848288831E-06  1.940402040493E-06  0.000000000000E+00  0.000000000000E+00
